"SourceTextTitle","SourceTextCode","PageNumber","PageEventEnds","Location","LocationCode","CharactersPresent","NarrativeStatus","Date","Era","Body","characters_introduced","eventname","fade","importance","lab","mark","n","Remembered","s","style","x","y","First 8-10 words of event","Nid","OrderWithinPage","Chronological Order","Summary","Keywords","CharactersMentioned","Indeterminate Date Range","kw_actions","kw_aesthetics","kw_cultural_issues","kw_environment","kw_relationships","kw_themes_and_motifs"
"Absalom, Absalom!","AA","146","147","Sutpen Plantation","017","15465, 15469","Told","1866-06-01 to 1866-06-30","Reconstruction (1866-1889)","","","","","","","","","","","","","","then three months later, with no date ever set","24525","146.05","399.15","<p>Shreve's recap of the story catches back up to the event it began with: Sutpen making his outrageous proposal that he and Rosa ""breed like a couple of dogs together"" and see if they have a boy (147).  [SOURCE: Shreve]</p>","","","0","Verbal > Insulting","","Sexuality > Extra-marital","","Romantic > Courtship",""
"Absalom, Absalom!","AA","146","146","Sutpen Plantation","017","15463, 15461, 15469","Told","1860-12-24","Antebellum (1831-1860)","","","","","","","","","","","","","","and then the demon must turn square around","24524","146.02","256.10","<p>Shreve notes how Sutpen drove both Bon and Henry away from Sutpen's Hundred.  [SOURCE: Shreve]</p>","","","0","","","","","Familial > Dysfunctional","Arrivals/Departures > Leaving home | Exile > Driven away"
"Absalom, Absalom!","AA","146","146","Sutpen Plantation","017","15465, 15469","Told","1866-01-01 to 1866-01-31","Reconstruction (1866-1889)","","","","","","","","","","","","","","and then almost before his foot was","24523","146.04","387.10","<p>Shreve sums up how. shortly after his return from the Civil War to his ruined plantation and thwarted plans, Sutpen proposed marriage - conditionally - to Rosa, ""the last woman on earth he might have hoped to prevail on"" (146).  [SOURCE: Shreve]</p>","","15461, 15462, 15667, 15355","0","","","History > Reconstruction | Slavery > Self-emancipation | War > Return from war","Place > Decayed plantation","Romantic > Courtship",""
"Absalom, Absalom!","AA","146","146","Sutpen Plantation","017","15463, 15461, 15462, 15469","Told","1865-05-03","Civil War (1861-1865)","","","","","","","","","","","","","","he (the son) should do the office of the outraged","24522","146.03","358.10","<p>Shreve's summary of events quickly rehearses how Henry killed Bon before fleeing Yoknapatawpha.  [SOURCE: Shreve]</p>","","","0","Violent > Shooting","","Age > Spinsterhood | Crime > Murder","","","Arrivals/Departures > Departing Yoknapatawpha"
"Absalom, Absalom!","AA","146","146","Sutpen Plantation","017","15463, 15461, 15462, 15469","Told","1859-12-22 to 1860-01-04","Antebellum (1831-1860)","","","","","","","","","","","","","","and so sure enough the daughter fell in love","24521","146.01","189.10","<p>Shreve quickly refers to how Judith ""fell in love"" with Bon, and how it apparently aided Sutpen's ambitions (146).  [SOURCE: Shreve]</p>","","","0","","","","","Familial > Father-daughter | Romantic > Courtship","Values > Love"
"Absalom, Absalom!","AA","145","146","Sutpen Plantation","017","15456, 15461, 15462, 15469","Told","1839-01-01 to 1841-12-31","Antebellum (1831-1860)","","","","","","","","","","","","","","could would and did breed him two children","24520","145.05","113.10","<p>Shreve mentions the ""two children"" that Ellen Sutpen gave birth to (145).  [SOURCE: Shreve]</p>","","","0","","","","","Familial > Parents-children",""
"Absalom, Absalom!","AA","145","145","Coldfield House","010","15459, 15456, 15469","Told","1838-01-01 to 1838-12-31","Antebellum (1831-1860)","","","","","","","","","","","","","","and chose (bought her, outswapped his father-in-law,","24519","145.04","103.10","<p>Shreve describes Sutpen's marriage to Ellen Coldfield.  [SOURCE: Shreve]</p>","","","0","","","Class > Respectability","","Marital > Wedding",""
"Absalom, Absalom!","AA","145","145","Sutpen Plantation","017","15287, 15469, 15326","Told","1833-06-01 to 1838-12-31","Antebellum (1831-1860)","","","","","","","","","","","","","","this Faustus who appeared suddenly one Sunday","24518","145.03","47.01","<p>Shreve's account goes back to Sutpen's earliest years in Yoknapatawpha, from his arrival with the twenty slaves to his building and furnishing ""the biggest house you ever saw"" (145).  His account follows Rosa's version (Sutpen had the slaves with him when he first arrived), rather than Mr. Compson's (Sutpen was alone on that first Sunday he came to Jefferson.  [SOURCE: Shreve]</p>","","","0","","Allusion, Literary > Faustus","Economy > Property | History > Dispossessing Indians | Progress > Building structure | Race > Native American stereotype","","","Objects > Furniture"
"Absalom, Absalom!","AA","145","145","Jefferson Courthouse and Square","054","15465, 15469","Told","1821-01-01 to 1833-05-31","Pre-Removal (-1830)","","","","","","","","","","","","","","""That this Faustus, this demon, this Beelzebub","24517","145.02","17.10","<p>An obscure passage in which Shreve seems to be trying to sum up how Rosa understood Sutpen's life before he arrived in Yoknapatawpha, ""hiding"" from his ""Creditor"" - i.e. the divine force that would someday punish his evil (145).  [SOURCE: Shreve]</p>","","","1","","Allusion, Biblical > Beelzebub | Allusion, Literary > Faustus","","","","Values > Justice"
"Absalom, Absalom!","AA","145","145","Fishing Camp|Hunting Camp","018","15465, 15340, 15453, 15469","Told","1869-08-12","Reconstruction (1866-1889)","","","","","","","","","","","","","","he would be dead too since she doubtless foresaw","24516","145.01","414.10","<p>According to Shreve, Rosa must have ""foreseen"" Sutpen's death at the hands of Wash Jones.  This is the first time in the novel that details about Sutpen's death like the ""rusty scythe"" are provided, and it is not at all clear how Shreve himself came to know so much about the event, though he does refer to a comment by Rosa (""how did she put it"") which suggests that Rosa may have told the details to Quentin who told them to Shreve - but this is speculative (145).  [SOURCE: Shreve; Rosa]</p>","","15459, 15340","0","Bodily > Dying | Violent > Murder","Narrative > Anticipation | Symbolism > Roman","Crime > Murder","","","Objects > Hammer | Objects > Scythe"
