"TextCode","DisplayName","SortName","About"
"SF","Robert Coleman","Coleman, Robert","<p>Robert Coleman is Assistant Dean of the College of Arts & Sciences at the University of South Alabama and the editor of <em>Studies in American Culture</em>.</p>
"
"GDM","Robert Coleman","Coleman, Robert","<p>Robert Coleman is Assistant Dean of the College of Arts & Sciences at the University of South Alabama and the editor of <em>Studies in American Culture</em>.</p>
"
"DS","Robert Coleman","Coleman, Robert","<p>Robert Coleman is Assistant Dean of the College of Arts & Sciences at the University of South Alabama and the editor of <em>Studies in American Culture</em>.</p>
"
"OLD","Robert Coleman","Coleman, Robert","<p>Robert Coleman is Assistant Dean of the College of Arts & Sciences at the University of South Alabama and the editor of <em>Studies in American Culture</em>.</p>
"
"W","Robert Coleman","Coleman, Robert","<p>Robert Coleman is Assistant Dean of the College of Arts & Sciences at the University of South Alabama and the editor of <em>Studies in American Culture</em>.</p>
"
"EIC","Robert Coleman","Coleman, Robert","<p>Robert Coleman is Assistant Dean of the College of Arts & Sciences at the University of South Alabama and the editor of <em>Studies in American Culture</em>.</p>
"
"RAM","Robert Coleman","Coleman, Robert","<p>Robert Coleman is Assistant Dean of the College of Arts & Sciences at the University of South Alabama and the editor of <em>Studies in American Culture</em>.</p>
"
"LA","Elizabeth Cornell","Cornell, Elizabeth","<p>Elizabeth Cornell is the Senior Writer for Internal Communications at New York Public Radio. Her publications include articles on Faulkner and the digital humanities in <em>South Central Review</em> and <em>Mississippi Quarterly.</em></p>
"
"RE","Elizabeth Cornell","Cornell, Elizabeth","<p>Elizabeth Cornell is the Senior Writer for Internal Communications at New York Public Radio. Her publications include articles on Faulkner and the digital humanities in <em>South Central Review</em> and <em>Mississippi Quarterly.</em></p>
"
"RL","Elizabeth Cornell","Cornell, Elizabeth","<p>Elizabeth Cornell is the Senior Writer for Internal Communications at New York Public Radio. Her publications include articles on Faulkner and the digital humanities in <em>South Central Review</em> and <em>Mississippi Quarterly.</em></p>
"
"HR","Elizabeth Cornell","Cornell, Elizabeth","<p>Elizabeth Cornell is the Senior Writer for Internal Communications at New York Public Radio. Her publications include articles on Faulkner and the digital humanities in <em>South Central Review</em> and <em>Mississippi Quarterly.</em></p>
"
"FD","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"SY","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"AA","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"ID","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"RQ","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"R","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"AD","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"AC","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"J","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
